,Delta,Theta,Alpha,Beta,Gamma
0,56563.342832081304,30267.233421345234,21448.10189020486,7230.061561486115,3036.0572497315875
1,55588.99433528935,27380.695900911385,10071.072966502348,5801.3786055169885,2516.6931430095115
2,46631.01332913774,19236.65439322715,12075.959551116523,5626.496429626481,2278.427610069268
3,39983.9842405483,29128.016601124087,15107.799748455853,6931.197016514419,3418.0555121387615
4,64407.12559448598,22551.16199526915,15818.773457778007,5721.934976776366,2721.172912604281
5,57909.211422575616,22552.334065088005,20128.398904892383,6909.293602590443,2737.1272859947635
6,63155.915003841474,39680.811264854136,21896.718118468187,10929.198100618263,3459.4983150688895
7,56528.110525612676,30889.661314512767,10932.729932586244,8654.353327748884,2908.9418536169264
8,48889.69404615222,29396.553457930466,23335.39404113225,10413.80423228613,4391.968652592741
9,38139.4100144671,21771.060448744316,15072.50510624692,6387.649208699662,3029.420541256187
10,20746.12502634891,16021.2692660955,10175.53127483623,3616.5360112201506,1404.539230833762
11,28408.30830287315,36640.2074193819,21586.536534650597,7684.86457406324,2475.7212100181096
12,18351.96323500179,18920.039587048097,15533.567418321161,7410.0794422244635,3833.159883365581
13,17082.97957024731,10598.930708598418,4800.4010683552315,1889.0995414177378,990.9320989181211
14,28408.772141888454,13711.472745277708,5837.557473049977,2973.2654668587165,1377.1599029079887
15,45030.65881395664,9714.82426025638,4572.694180478949,2721.5873232599884,1267.9105486050425
16,8189.8455584906915,5324.233454073274,3427.831167057132,1968.7046916668842,1019.2767623000638
17,9943.170284366515,4770.582067848658,1825.5797180894092,1186.4398625223962,582.6604926500216
18,24397.539289648434,7201.861097491385,2988.8943289924714,1161.8161297170473,828.731999940004
19,38767.1595886209,28610.142647540473,11375.403659324951,4508.514468728497,1609.3967544346187
20,19369.893857328432,5339.995923093656,1417.0793357572002,1242.777188102009,557.2846833307422
21,49386.84259199837,26465.982110612673,12214.172491438168,3480.119114281651,1156.4058444319887
22,38169.00763968428,23917.756812342755,8074.2908611127405,3694.3702392150835,1223.3986480063948
23,37519.62008170323,11220.291663980708,3885.5351097814046,2103.8737323472487,965.6324084919155
24,42863.074722330726,15644.310290350058,5189.799256085043,1855.2766671034724,1025.251419612857
25,17522.59754969636,6782.8767280076545,4956.4610683179,2424.4559497496575,987.2184237957143
26,41663.22471335411,8919.455709713302,6024.305653461294,1894.9069707937797,1041.2185450007426
27,21791.98636851351,13370.896270222034,4251.636451714772,2045.835081148646,1074.9738618000415
28,24553.361153768048,7034.381481455381,5392.724783880517,2238.21930424802,896.5960991056431
29,5836.001819653886,3146.77168606806,5083.885341766852,1725.8536706841558,767.1059639069972
30,4500.085352964409,5011.813151561916,3665.5208544110064,1430.1207053042144,635.3715668969677
