,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,-796.875,-652.34375,-273.4375,-56.640625,-178.7109375,0.69323
1,-811.03515625,-919.921875,-281.73828125,-45.8984375,-117.67578125,0.69323
2,-870.1171875,-667.96875,-192.3828125,-70.3125,-122.55859375,0.69323
3,-854.98046875,-386.23046875,-182.12890625,-41.9921875,-132.8125,0.69323
4,-819.3359375,-703.61328125,-319.3359375,-7.8125,22.94921875,0.69323
5,-813.4765625,-707.51953125,-200.1953125,-3.41796875,0.9765625,0.69323
6,-842.28515625,-522.4609375,-210.9375,-20.01953125,-134.27734375,0.69323
7,-852.05078125,-813.4765625,-276.3671875,-27.83203125,-57.6171875,0.69323
8,-840.33203125,-1000.0,-482.421875,-14.6484375,290.52734375,0.69323
9,-810.546875,-881.34765625,-480.46875,-17.08984375,263.671875,0.69323
10,-729.00390625,-582.51953125,-146.97265625,-31.25,-149.90234375,0.69323
11,-731.4453125,-659.66796875,-217.7734375,-34.1796875,-147.4609375,0.69323
12,-792.96875,-988.28125,-353.02734375,-22.4609375,-11.23046875,0.69323
13,-809.5703125,-891.11328125,-291.50390625,-37.59765625,-51.26953125,0.69323
14,-897.94921875,-725.5859375,-190.4296875,-71.2890625,-205.56640625,0.69323
15,-999.0234375,-900.87890625,-381.8359375,-57.12890625,-109.375,0.69323
16,-982.91015625,-1000.0,-547.36328125,-17.08984375,240.234375,0.69323
17,-914.55078125,-772.4609375,-232.421875,-16.6015625,132.8125,0.69323
18,-966.796875,-631.34765625,-145.99609375,-36.1328125,-57.12890625,0.69323
19,-1000.0,-872.55859375,-417.96875,-44.43359375,166.9921875,0.69323
20,-990.234375,-1000.0,-515.625,-32.2265625,193.84765625,0.69323
21,-976.5625,-864.74609375,-267.08984375,-6.34765625,46.38671875,0.69323
22,-995.60546875,-632.32421875,-121.09375,-11.23046875,-60.05859375,0.69323
23,-1000.0,-859.86328125,-417.96875,-29.296875,83.984375,0.69323
24,-999.0234375,-997.55859375,-558.10546875,-37.59765625,301.7578125,0.69323
25,-1000.0,-714.35546875,-129.8828125,-23.92578125,47.36328125,0.69323
26,-1000.0,-651.85546875,-106.93359375,-15.13671875,-81.54296875,0.69323
27,-998.53515625,-863.28125,-245.1171875,-63.96484375,-32.71484375,0.69323
28,-1000.0,-823.2421875,-187.01171875,-93.75,-75.68359375,0.69323
29,-981.93359375,-875.0,-245.60546875,-3.41796875,-44.43359375,0.69323
30,-966.30859375,-1000.0,-288.0859375,29.296875,-19.53125,0.69323
31,-999.0234375,-1000.0,-496.58203125,-19.53125,214.35546875,0.69323
32,-1000.0,-986.328125,-496.09375,3.90625,328.125,0.69323
33,-970.21484375,-788.0859375,-133.30078125,-10.25390625,-53.22265625,0.69323
34,-963.37890625,-794.43359375,-187.01171875,-25.390625,-127.44140625,0.69323
35,-1000.0,-943.84765625,-266.11328125,-42.96875,-34.1796875,0.69323
36,-1000.0,-952.1484375,-241.2109375,-69.3359375,-70.80078125,0.69323
37,-1000.0,-915.52734375,-192.87109375,-52.734375,-158.69140625,0.69323
38,-980.95703125,-899.4140625,-247.0703125,-19.53125,-94.7265625,0.69323
39,-979.4921875,-974.12109375,-348.14453125,-22.4609375,73.2421875,0.69323
40,-1000.0,-761.71875,-78.125,-48.33984375,-19.04296875,0.69323
41,-942.87109375,-605.46875,64.453125,-36.62109375,-131.8359375,0.69323
42,-859.375,-809.08203125,-166.50390625,-21.484375,-40.0390625,0.69323
43,-818.359375,-1000.0,-371.58203125,-21.484375,-2.9296875,0.69323
44,-745.60546875,-994.140625,-295.41015625,-4.39453125,-47.8515625,0.69323
45,-661.1328125,-981.4453125,-198.73046875,-6.8359375,-28.80859375,0.69323
46,-559.5703125,-1000.0,-383.7890625,8.30078125,56.15234375,0.69323
47,-435.546875,-964.35546875,-502.9296875,44.43359375,295.8984375,0.69323
48,-369.62890625,-826.171875,-142.578125,6.8359375,90.33203125,0.69323
49,-278.80859375,-807.12890625,-86.42578125,2.9296875,-190.4296875,0.69323
50,-238.28125,-921.875,-384.27734375,13.671875,45.41015625,0.69323
51,-183.10546875,-908.203125,-377.44140625,-18.06640625,143.06640625,0.69323
52,-65.91796875,-684.08203125,12.6953125,-39.55078125,-154.296875,0.69323
53,-48.33984375,-715.8203125,-52.734375,-43.9453125,-197.75390625,0.69323
54,-14.16015625,-895.5078125,-211.9140625,-23.4375,-100.5859375,0.69323
55,55.6640625,-975.09765625,-248.53515625,-12.6953125,13.18359375,0.69323
56,24.4140625,-997.0703125,-292.96875,-34.1796875,20.99609375,0.69323
57,-15.13671875,-993.1640625,-261.23046875,-48.33984375,-100.5859375,0.69323
58,-42.48046875,-1000.0,-460.9375,-33.203125,164.55078125,0.69323
59,20.5078125,-911.62109375,-474.609375,0.48828125,332.51953125,0.69323
60,108.88671875,-868.65234375,-179.6875,-9.27734375,9.27734375,0.69323
61,31.73828125,-1000.0,-298.33984375,-46.875,-94.7265625,0.69323
62,16.11328125,-963.37890625,-340.33203125,-39.55078125,33.203125,0.69323
63,79.58984375,-693.84765625,-60.546875,-70.80078125,-42.96875,0.69323
64,192.87109375,-514.6484375,58.59375,-57.12890625,-217.28515625,0.69323
65,236.81640625,-743.65234375,-177.24609375,1.46484375,-143.5546875,0.69323
66,241.69921875,-933.59375,-320.3125,-14.6484375,-53.22265625,0.69323
67,264.6484375,-924.31640625,-278.3203125,-44.43359375,-58.59375,0.69323
68,310.546875,-986.81640625,-236.328125,-39.55078125,-176.7578125,0.69323
69,287.109375,-1000.0,-402.34375,-26.85546875,-117.1875,0.69323
70,256.8359375,-965.8203125,-506.8359375,-21.97265625,94.23828125,0.69323
71,335.9375,-950.68359375,-239.2578125,-16.11328125,-75.68359375,0.69323
72,357.91015625,-891.6015625,-196.77734375,-17.578125,-216.796875,0.69323
73,418.9453125,-889.6484375,-302.734375,-19.53125,-45.41015625,0.69323
74,540.0390625,-877.44140625,-289.0625,-15.625,-29.296875,0.69323
75,553.22265625,-692.87109375,-152.34375,-15.13671875,-191.89453125,0.69323
76,550.29296875,-737.79296875,-224.12109375,-8.30078125,-128.41796875,0.69323
77,541.015625,-876.953125,-266.11328125,-16.6015625,-93.26171875,0.69323
78,483.88671875,-897.94921875,-240.72265625,-22.4609375,-113.76953125,0.69323
79,450.1953125,-974.609375,-348.14453125,-33.203125,-106.93359375,0.69323
80,459.47265625,-998.046875,-307.12890625,-40.0390625,-61.03515625,0.69323
81,471.19140625,-1000.0,-481.93359375,-11.71875,250.48828125,0.69323
82,449.21875,-907.71484375,-473.14453125,-21.484375,250.9765625,0.69323
83,451.66015625,-693.84765625,-153.80859375,-28.3203125,-98.6328125,0.69323
84,427.24609375,-865.72265625,-314.453125,-10.25390625,-18.5546875,0.69323
85,423.33984375,-1000.0,-469.23828125,17.578125,185.05859375,0.69323
86,376.953125,-906.73828125,-306.15234375,-27.34375,63.4765625,0.69323
87,378.90625,-693.359375,-143.5546875,-38.57421875,-153.80859375,0.69323
88,412.109375,-849.12109375,-353.515625,11.23046875,-101.5625,0.69323
89,420.41015625,-962.40234375,-442.87109375,-1.46484375,4.39453125,0.69323
90,429.19921875,-832.51953125,-253.41796875,-20.01953125,-112.3046875,0.69323
91,336.9140625,-941.40625,-287.109375,-41.50390625,-115.234375,0.69323
92,300.29296875,-1000.0,-465.33203125,-26.3671875,168.9453125,0.69323
93,372.55859375,-914.55078125,-467.28515625,-15.625,190.4296875,0.69323
94,454.1015625,-779.78515625,-199.70703125,-22.4609375,-93.75,0.69323
95,427.24609375,-764.6484375,-169.43359375,5.37109375,-186.03515625,0.69323
96,336.42578125,-923.828125,-469.7265625,4.8828125,9.27734375,0.69323
97,322.75390625,-963.8671875,-522.4609375,-4.39453125,137.6953125,0.69323
98,418.9453125,-811.03515625,-180.6640625,25.390625,-143.5546875,0.69323
99,341.796875,-915.0390625,-319.3359375,11.23046875,-168.45703125,0.69323
100,254.39453125,-1000.0,-444.82421875,-5.859375,5.859375,0.69323
101,205.078125,-884.27734375,-279.78515625,-9.765625,-78.125,0.69323
102,211.42578125,-852.5390625,-270.01953125,0.48828125,-144.04296875,0.69323
103,256.34765625,-973.14453125,-365.234375,-18.5546875,-62.98828125,0.69323
104,188.96484375,-1000.0,-577.1484375,-45.41015625,193.359375,0.69323
105,264.6484375,-930.17578125,-546.38671875,26.3671875,253.41796875,0.69323
106,388.671875,-708.49609375,-196.2890625,45.41015625,-77.63671875,0.69323
107,350.5859375,-787.109375,-280.76171875,19.53125,-84.47265625,0.69323
108,235.3515625,-997.0703125,-398.4375,-5.859375,-8.30078125,0.69323
109,217.28515625,-961.42578125,-329.58984375,-11.23046875,-122.0703125,0.69323
110,285.64453125,-860.83984375,-223.14453125,-4.8828125,-249.51171875,0.69323
111,296.875,-901.3671875,-369.140625,-18.5546875,-123.53515625,0.69323
112,247.0703125,-989.2578125,-500.9765625,-17.08984375,74.70703125,0.69323
113,263.18359375,-959.9609375,-340.8203125,-12.20703125,-2.9296875,0.69323
114,308.10546875,-982.91015625,-307.12890625,-10.7421875,-115.234375,0.69323
115,361.81640625,-989.2578125,-451.66015625,14.16015625,101.07421875,0.69323
116,247.55859375,-1000.0,-730.46875,-9.27734375,456.0546875,0.69323
117,200.68359375,-939.94140625,-468.26171875,-43.9453125,220.703125,0.69323
118,306.15234375,-795.8984375,-240.72265625,15.13671875,-154.296875,0.69323
119,318.84765625,-895.01953125,-354.98046875,20.5078125,-152.34375,0.69323
120,275.87890625,-908.203125,-312.98828125,-24.4140625,-140.625,0.69323
121,223.14453125,-806.640625,-273.92578125,-26.3671875,-212.40234375,0.69323
