,eeg1,eeg2,eeg3,eeg4,aux,time_since_start
0,-195.80078125,-50.78125,-80.078125,-53.7109375,22.4609375,0.001794
1,-242.67578125,-77.1484375,-90.33203125,-31.73828125,223.6328125,0.001794
2,-202.63671875,-56.15234375,-65.91796875,-34.66796875,147.4609375,0.001794
3,-116.2109375,-27.83203125,-55.17578125,-37.59765625,-124.0234375,0.001794
4,-130.37109375,-48.828125,-79.1015625,-32.71484375,28.3203125,0.001794
5,-202.63671875,-47.8515625,-71.2890625,-34.66796875,131.8359375,0.001794
6,-205.078125,-23.92578125,-45.41015625,-35.15625,-38.57421875,0.001794
7,-154.78515625,-35.15625,-54.19921875,-14.6484375,-125.48828125,0.001794
8,-165.52734375,-59.5703125,-74.21875,9.765625,-6.34765625,0.001794
9,-219.7265625,-42.96875,-59.08203125,-4.8828125,34.1796875,0.001794
10,-220.703125,-27.34375,-54.6875,-25.390625,-76.171875,0.001794
11,-176.7578125,-31.25,-76.171875,-34.1796875,-29.296875,0.001794
12,-165.0390625,-49.8046875,-83.0078125,-33.69140625,24.4140625,0.001794
13,-237.79296875,-75.1953125,-89.84375,-29.296875,319.82421875,0.001794
14,-263.671875,-22.94921875,-50.29296875,-22.4609375,232.91015625,0.001794
15,-208.0078125,-3.90625,-31.73828125,-9.27734375,-121.09375,0.001794
16,-184.08203125,-42.48046875,-51.7578125,-16.6015625,-83.49609375,0.001794
17,-221.19140625,-26.3671875,-48.33984375,-28.3203125,-37.109375,0.001794
18,-284.66796875,-17.578125,-56.15234375,-50.78125,-108.88671875,0.001794
19,-319.82421875,-20.99609375,-66.40625,-87.890625,-141.11328125,0.001794
20,-319.82421875,-43.9453125,-84.47265625,-84.47265625,16.6015625,0.001794
21,-336.9140625,-18.5546875,-79.58984375,-75.1953125,9.765625,0.001794
22,-380.859375,20.99609375,-75.1953125,-67.3828125,-148.4375,0.001794
23,-411.62109375,-9.765625,-72.75390625,-51.26953125,-90.33203125,0.001794
24,-446.2890625,-62.5,-82.03125,-80.56640625,203.125,0.001794
25,-491.69921875,-21.484375,-63.4765625,-117.67578125,118.65234375,0.001794
26,-538.0859375,9.27734375,-30.2734375,-121.58203125,-242.1875,0.001794
27,-561.5234375,-11.71875,-31.25,-136.23046875,-212.890625,0.001794
28,-578.61328125,-13.671875,-12.6953125,-173.33984375,-20.5078125,0.001794
29,-616.2109375,-17.08984375,-4.8828125,-184.08203125,-30.2734375,0.001794
30,-681.640625,-7.32421875,-13.671875,-177.24609375,-82.51953125,0.001794
31,-734.86328125,-31.73828125,-8.30078125,-177.734375,-35.15625,0.001794
32,-716.30859375,-51.7578125,7.32421875,-209.47265625,68.359375,0.001794
33,-699.21875,-24.90234375,22.4609375,-225.5859375,98.6328125,0.001794
34,-745.60546875,-7.32421875,31.25,-218.26171875,11.71875,0.001794
35,-793.45703125,-38.57421875,28.3203125,-195.3125,93.75,0.001794
36,-867.67578125,-95.21484375,-5.859375,-202.63671875,563.4765625,0.001794
37,-885.25390625,-54.19921875,26.85546875,-225.09765625,445.80078125,0.001794
38,-868.1640625,-17.578125,64.94140625,-193.84765625,-53.7109375,0.001794
39,-895.01953125,-58.10546875,52.24609375,-162.59765625,-38.57421875,0.001794
40,-890.13671875,-58.59375,62.98828125,-156.25,10.7421875,0.001794
