,Delta,Theta,Alpha,Beta,Gamma
0,17290.09172594149,6614.322114408438,4923.207145470073,1660.4415863751865,812.3569069061053
1,34673.750955270036,11433.99743767392,6745.015669240942,1750.6219656435833,1002.1512671314936
2,14755.415775861826,6350.41194597077,3377.848975072994,1688.664127857317,579.8158271060553
3,11277.421613246286,3753.449405022314,5892.167518861117,1832.5153012909914,460.15109304017824
4,31864.440652430596,11339.212710677242,7089.879192116137,2156.379035829752,861.8333920319243
5,65114.71275669946,27400.639648298504,12866.339819541074,5100.271786571668,1492.403943954989
6,58788.1525484029,22449.682945223194,11239.458151898574,3889.938333460909,777.6723270856677
7,49978.942062208545,14837.117632391573,11749.377200770574,3717.8113087425468,1002.9904326972197
8,23599.660247292944,15127.345304618933,9745.434864758352,2303.5692258109484,513.5853630271116
9,31982.898838127112,14810.367750139487,3298.435850479683,2081.438427672594,543.3179990817997
10,14392.529078543475,8504.038399378738,8089.85277371507,2601.6321826912367,759.4919432932219
11,16344.379865479455,7381.172329494172,4617.129479311958,1535.9315559538056,909.4798107281977
12,12113.047776364207,3409.9498175801823,2417.713969075315,1363.013237117155,523.7188640189275
13,27379.97105649024,9978.40369265452,6776.8444762131885,3145.0876711529336,969.5413721573963
14,23604.749463403503,30510.600526637565,6375.914817669356,1592.108115046769,490.1639246672474
15,27438.892546574178,24412.013734876273,5344.293247502919,1643.7106057620258,578.6230083156623
16,13168.301322831561,8241.371821018956,2971.4153375588317,1122.5749637153926,546.9901508636458
17,11703.486781441541,5495.005223092784,4909.38902650431,1626.1116232251716,645.8399619487666
18,9847.152440295135,2508.063963616975,1773.0788981141807,699.8545877337737,272.62227515119565
19,7803.698180247732,2664.1970629814105,1946.1815657463128,630.8229573704649,255.22323220874637
20,2378.850324456176,1807.7619128229903,1006.8579818651585,521.7468094546758,130.96057529126588
21,1447.313033622221,1083.9096422382356,1000.1891749068112,619.0714561001699,200.54191355305366
22,7336.126699567687,4489.804049963598,2084.9555991388356,973.0733604808813,597.0835725960055
23,8373.189840607067,6070.04041493003,2476.345842839153,876.5536851696712,474.4512146553663
24,9636.412415075521,3126.135859643014,2930.9735363962245,1693.921627416108,772.546976230596
25,20842.94802283661,6966.578362713875,3652.2690749875846,1746.398519772383,500.3895516317757
26,27882.119152780582,14532.065662035782,3689.595689556589,3048.252831462435,1058.0101986954385
27,28697.902057942127,10831.7142203048,6670.378622825314,2784.9203467087295,964.9452907389525
28,24743.878804538443,5273.000129950226,3299.9501535586433,2361.911224213145,899.2331686415091
29,17823.78564309553,10550.288422907342,3172.064461880442,2159.060743346635,757.8676715277763
