,Delta,Theta,Alpha,Beta,Gamma
0,21707.96400264363,8168.331506726461,4045.704330564355,1735.6231957741845,1454.8029696451224
1,43474.68794925489,14734.520762767035,10349.407839424128,4724.133401695831,2208.6405930362007
2,45191.190222156016,16479.665108778318,8892.385795988917,3973.924432836653,1046.6074934695903
3,49560.14901699405,38067.94456975797,17650.750899300754,6318.627665418438,2234.5081943705404
4,45211.43725716636,19967.470940913212,11252.50372134909,3659.3629236161833,1837.494083285278
5,46621.41537830267,30635.421637296087,12247.056053701504,5350.852320338747,2312.5704892669146
6,49182.894306609705,32274.520726174273,11524.090940127804,4864.522913519863,1618.0691425740747
7,50416.98934235812,30398.58789568181,15952.106848183414,6433.505589949857,2373.752346394378
8,42490.899221444444,40275.60955472349,18402.76239037536,8210.722938246292,3074.397381582689
9,50590.89163887831,27326.68041863346,10397.668784019927,6547.6543988045905,2922.543511423635
10,41562.42689173974,15564.160589361345,8758.144264938845,4757.310627532629,1736.8190498107313
11,39854.20213955139,20288.21695194125,11330.361180133837,6119.275097520592,2760.4337676247765
12,52537.96193634073,22549.041802064734,16605.48597477338,8251.951067682072,3269.754204085765
13,48925.599796102775,21599.255202253775,15722.40447034183,5833.073731733703,2426.972074195372
14,34516.801538856416,30614.644640247923,12274.686684671473,4116.996899286454,2930.73813627014
15,43945.22265977148,29561.654082779904,16538.688944910653,6492.801827355332,3132.230634445335
16,44448.45529258907,20392.706508672833,9089.291924636387,6657.158739543502,2359.3888944180267
17,62038.01159499389,20144.90813061327,12556.340409494835,3618.1641550425657,1770.8162663652886
18,25742.928975219984,25706.500887557966,6377.385958993213,4235.875502648221,1469.3642919506176
19,36585.89763477756,19105.248769652386,8014.544635440322,3705.829185869243,1806.1700415836156
20,37990.61159777727,13858.173201486137,3741.693684036396,2263.00590868831,1152.9452813530906
21,39729.14285560945,17218.534723691693,5830.095688456807,4241.949806669748,2196.3503072377416
22,45543.88182556412,18696.108765524365,9184.02805573636,3418.170444357673,1104.1669517873536
23,21526.050493487146,11520.409449663775,9110.267233669765,4252.074637431432,2143.3921947027734
24,12624.448510194128,4508.531863056606,5195.425321333877,2294.9592424620614,957.2940767046076
25,15009.538393033201,5964.710606163025,4669.170600474543,2238.668782315022,969.5279844777989
26,19602.599748923953,6611.850948990819,5028.753538497899,1296.5523339474491,874.0847574750284
27,14510.32600948305,8665.898742863932,3019.445368914658,1919.9100523559712,1044.8576547952853
28,29095.692418101353,13345.339868611032,4478.795425610039,2253.6924770262617,1021.2181758084007
29,10196.254543860656,5844.533355245407,2595.7980008311747,1844.5878271822141,1015.8098128855639
30,10148.99747533278,6244.458130090332,4033.318041310648,1329.055039389655,921.4188318919769
