,Delta,Theta,Alpha,Beta,Gamma
0,15471.715434380558,6446.051173713599,3680.1752638643547,1456.8037354259845,889.7785027833869
1,39549.569359920155,24660.078045735838,10363.484017249957,4539.293785915986,1836.6153153166028
2,37396.965580325676,13569.320628856489,8589.560768875088,3575.240419841995,1268.6130142103125
3,58678.0611991115,27386.412316814185,23907.266795397216,9056.016052131394,4512.002526685225
4,42501.55981354841,17627.608522911443,12610.026695729794,6322.685680981188,2393.403545327413
5,41703.17584449048,12175.542917616325,6458.173850939767,3605.770196653795,1836.5172882617467
6,38490.072112574715,24011.68441702446,9933.986042898914,5542.405151182655,2319.187577421395
7,53378.63203959668,18528.039005047558,10265.326496043865,3617.9411930570855,1805.8882674641852
8,42557.415822089795,15955.132729489818,8711.849885576392,3832.837860854872,1677.6515575259375
9,32347.312978051177,18508.01912813599,6217.315676464553,2375.9219607952446,1138.728056822708
10,40472.563360261505,15352.128862266687,7654.027565597002,3686.2499136828096,1226.923865320261
11,24355.96223066185,10222.688758782922,2902.958799938099,2102.212287306422,1372.9328447711675
12,9669.88633658385,4956.186260347484,3494.1271831541053,1586.9881901220788,1417.143447836873
13,18033.66386164405,6369.111934958014,2249.958619310575,1418.5328375035965,1861.8406984004785
14,12675.17363992149,10420.194116161234,3806.81407896604,1750.313149663079,1198.7861729146175
15,11413.481440640486,5613.1371584160415,1736.7164358309922,1173.1141301312878,1100.0480222224899
16,30514.922040638903,16172.237836708067,6590.640076961417,2995.890837898454,1919.1377095024818
17,9572.133081737467,4655.480087290691,2479.9147474412466,1174.194607739804,1068.6020035384809
18,15812.400190134094,8195.571186356518,2625.5952650142567,1835.3411336600122,1303.526546907963
19,28172.355428057028,13953.541995008924,9710.196347063524,2612.313595490045,2429.7112566143587
20,33652.63721376867,29540.955866383854,15634.252962717734,4531.458693973818,1945.9120528012063
21,34134.652896169384,15639.393231188902,4830.482899916899,2144.208230935112,1665.447240612178
22,15655.315495490095,5090.086231479902,5113.839681259421,1288.5076141287834,2225.8134335775376
23,8967.652111213501,8771.13242052636,1853.596446515595,1597.2031974957767,1764.2720076846817
24,8239.317779382127,5931.879816523772,1784.7809093013973,1092.1658012987311,1227.32348508289
25,37149.76216441979,21514.95432493034,5289.2412292689,2504.4622167314606,1578.9134440119894
26,4724.996016555788,1472.9699508952529,787.6752773341792,1070.1936862829498,1921.1930796857005
27,2462.7263829128647,2198.4160688215447,1108.6648500753745,840.4425817522092,1647.1866789159137
28,20796.689110168525,15953.630997526845,3489.4461046430793,1645.4655695394933,1153.6140541880018
29,44481.90319828877,12960.159423381792,4074.393063753198,2265.376406816937,2108.403446297069
30,30945.47027092823,8926.030621305646,6102.903237566719,2663.0087017456435,2086.4096232245683
